"","Cantón","Poblacion de 15 años y mas","Tasa neta de participacón","Tasa de ocupación","Tasa de desempleo abierto","Porcentaje de población economicamente inactiva","relación de dependencia económica","Sector primario","Sector secundario","Sector terciario","Total hogares","Hogares pobres","Porcentaje de hogares pobres","Grupo clasificado","Población","Nacimientos","Tasa bruta de natalidad","Defunciones","Tasa bruta de mortalidad","muertes_infantiles","Tasa de mortalidad infantil","provincia"
"33","UPALA",30304,44.9214625131996,43.7961985216473,2.50495849555572,55.0785374868004,2.22875192830383,45.0874020494274,8.94364074743821,45.9689572031344,11692,5311.6756,1.98332165234145,4,47357,878,18.54002576,165,3.484173406,12,13.67,"Alajuela"
"34","LOS CHILES",16195,47.4837912936091,45.6622414325409,3.83615084525358,52.5162087063909,2.08647594278283,54.5638945233266,7.91075050709939,37.525354969574,6191,2645.3245,0.987735274782089,4,27301,550,20.14578221,65,2.38086517,11,20,"Alajuela"
"35","GUATUSO",10972,46.1265038279256,44.7867298578199,2.9045643153527,53.8734961720744,2.06421655799249,49.2877492877493,9.89010989010989,40.8221408221408,4497,2015.5598,0.752588014397754,4,16950,294,17.34513274,50,2.949852507,1,3.4,"Alajuela"
"36","CARTAGO",113972,53.1709542694697,51.4398273260099,3.25577557755776,46.8290457305303,1.44056105610561,10.2188411482764,23.2418510242721,66.5393078274515,39773,6940.3885,2.59146525960877,1,151774,2161,14.23827533,694,4.57258819,21,9.72,"Cartago"
"37","PARAÍSO",43318,51.468211828801,49.5752343136802,3.67795469836286,48.531788171199,1.58995290423862,16.5681024447031,22.8218859138533,60.6100116414435,15076,3411.6988,1.27389106769008,2,58030,906,15.61261417,231,3.980699638,9,9.93,"Cartago"
"38","LA UNIÓN",75029,59.2637513494782,57.2525290221115,3.39368042280445,40.7362486505218,1.23544360733161,1.86702672502095,20.0391097867585,78.0938634882205,27573,4237.9701,1.58241174617397,1,101195,1273,12.57967291,309,3.053510549,13,10.21,"Cartago"
"39","JIMÉNEZ",11173,47.0509263402846,45.7531549270563,2.75822712573711,52.9490736597154,1.79037473844398,32.68779342723,16.3928012519562,50.9194053208138,4193,1114.9187,0.416298464896911,2,15716,211,13.42580809,58,3.69050649,3,14.22,"Cartago"
"40","TURRIALBA",52690,47.4795976466123,46.0599734294933,2.98996682256066,52.5204023533877,1.78274773154255,21.8426799620916,16.87337755985,61.2839424780584,20790,5190.7636,1.93817443220099,2,72631,1245,17.14144098,311,4.281918189,11,8.83,"Cartago"
"41","ALVARADO",10696,53.0385190725505,52.2344801795064,1.51595275868147,46.9614809274495,1.52282742816852,43.4938249507786,14.426346876678,42.0798281725434,3719,886.9815,0.331189204057623,2,14302,220,15.38246399,63,4.404978325,6,27.27,"Cartago"
"42","OREAMUNO",34110,53.9079448841982,52.4127821753152,2.77354796606482,46.0920551158018,1.47297150315423,20.0805459223627,20.3434388634075,59.5760152142298,11509,2389.2684,0.892126723811072,2,46136,603,13.07005375,162,3.511357725,3,4.97,"Cartago"
